"Scientific Name","Common Name","Where Listed","ESA Listing Status  ","Lead Region  ","Listing Date","Most Recently Completed 5YSR","5YSR Recommendation","Notice of In Progress 5YSR","Notice Date of In Progress 5YSR","Group"
"Lampsilis powellii","fatmucket, Arkansas","<div>Wherever found</div>","T","4","1990","2020/05/06","Uplist to E","No Five Year Review In Progress","","Clams"
"Abutilon sandwicense","No common name","<div>Wherever found</div>","E","1","1991","2019/09/20","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Vermivora bachmanii","Warbler (=wood), Bachman's","<div>Wherever found</div>","E","4","1967","2015/05/06","No change in Status","Removal of 23 Extinct  Species From the Lists of Endangered and Threatened Wildlife and  Plants; Proposed Rule","2021/09/30","Birds"
"Brodiaea pallida","Brodiaea, Chinese Camp","<div>Wherever found</div>","T","8","1998","2022/08/10","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Carex albida","Sedge, white","<div>Wherever found</div>","E","8","1997","2019/05/02","Delist: The listed entity does not meet the statutory definition of a species","No Five Year Review In Progress","","Flowering Plants"
"Clermontia pyrularia","`Oha wai","<div>Wherever found</div>","E","1","1994","2020/03/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Schiedea salicaria","No common name","<div>Wherever found</div>","E","1","2013","2020/09/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Microtus pennsylvanicus dukecampbelli","Vole, Florida salt marsh","<div>Wherever found</div>","E","4","1991","2019/09/30","No change in Status","No Five Year Review In Progress","","Mammals"
"Phyllostegia mollis","No common name","<div>Wherever found</div>","E","1","1991","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Arenaria cumberlandensis","Sandwort, Cumberland","<div>Wherever found</div>","DM","4","1988","2021/08/16","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Flowering Plants"
"Silene perlmanii","No common name","<div>Wherever found</div>","E","1","1991","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Cyanea hamatiflora ssp. carlsonii","Haha","<div>Wherever found</div>","E","1","1994","2020/03/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Castilleja campestris ssp. succulenta","Owl's-clover, fleshy","<div>Wherever found</div>","T","8","1997","2011/09/08","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/5832'>Initiation of 5-Year Status Reviews of 40 Species in California Nevada and Oregon; request for information</a","2022/02/02","Flowering Plants"
"Ovis canadensis nelsoni","Sheep, Peninsular bighorn","<div>Peninsular CA pop.</div>","E","8","1998","2021/08/30","No change in Status","No Five Year Review In Progress","","Mammals"
"Cottus paulus (=pygmaeus)","Sculpin, pygmy","<div>Wherever found</div>","T","4","1989","2008/07/28","No change in Status","5-Year Status Reviews for 35 Southeastern Species","2018/05/07","Fishes"
"Astragalus robbinsii var. jesupii","Milk-vetch, Jesup''s","<div>Wherever found</div>","E","5","1987","2021/08/20","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Amblyopsis rosae","Cavefish, Ozark","<div>Wherever found</div>","T","4","1984","2019/08/09","No change in Status","No Five Year Review In Progress","","Fishes"
"Canavalia molokaiensis","`Awikiwiki","<div>Wherever found</div>","E","1","1992","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Argemone pleiacantha ssp. pinnatisecta","Poppy, Sacramento prickly","<div>Wherever found</div>","E","2","1989","2022/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyprogenia stegaria","Fanshell","<div>Wherever found</div>","E","4","1990","2019/07/08","No change in Status","No Five Year Review In Progress","","Clams"
"Poa napensis","Bluegrass, Napa","<div>Wherever found</div>","E","8","1997","2010/02/16","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/5832'>Initiation of 5-Year Status Reviews of 40 Species in California Nevada and Oregon; request for information</a","2022/02/02","Flowering Plants"
"Schiedea stellarioides","Laulihilihi","<div>Wherever found</div>","E","1","1996","2022/08/10","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Tamiasciurus fremonti grahamensis","Squirrel, Mount Graham red","<div>Wherever found</div>","E","2","1987","2008/01/15","No change in Status","Endangered and Threatened Species: Initiation of 5-Year Status Reviews of 35 Species in the Southwest","2022/02/02","Mammals"
"Rangifer tarandus ssp. caribou","Caribou DPS, Southern Mountain","<div>Southern Mountain DPS</div>","E","1","1983","2019/10/02","Revision of listed entity","No Five Year Review In Progress","","Mammals"
"Packera franciscana","Ragwort, San Francisco Peaks","<div>Wherever found</div>","T","2","1983","2021/08/26","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Notropis oxyrhynchus","Shiner, sharpnose","<div>Wherever found</div>","E","2","2014","2021/08/06","No change in Status","No Five Year Review In Progress","","Fishes"
"Acrocephalus familiaris kingi","Millerbird, Nihoa (old world warbler)","<div>Wherever found</div>","E","1","1967","2022/08/04","No change in Status","No Five Year Review In Progress","","Birds"
"Cyrtandra giffardii","Ha`iwale","<div>Wherever found</div>","E","1","1994","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Dicerandra cornutissima","Mint, longspurred","<div></div>","E","4","1985","2018/06/05","No change in Status","Initiation of 5- Year Status Reviews for 35 Southeastern Species; Request for Information","2022/05/13","Flowering Plants"
"Cyanea magnicalyx","haha","<div>Wherever found</div>","E","1","2013","2018/10/22","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Osmoxylon mariannense","No common name","<div>Wherever found</div>","E","1","2004","2020/09/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyanea superba","Haha","<div>Wherever found</div>","E","1","1991","2019/09/25","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Leptodea leptodon","Mussel, scaleshell","<div>Wherever found</div>","E","3","2001","2021/03/23","No change in Status","No Five Year Review In Progress","","Clams"
"Crotalaria avonensis","Harebells, Avon Park","<div></div>","E","4","1993","2007/07/13","No change in Status","5-Year Status Reviews for 42 Southeastern Species; Notice of initiation and request for information","2018/08/06","Flowering Plants"
"Tetramolopium filiforme","No common name","<div>Wherever found</div>","E","1","1991","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Leavenworthia texana","Gladecress, Texas golden","<div>Wherever found</div>","E","2","2013","2022/08/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Percina antesella","Darter, amber","<div>Wherever found</div>","E","4","1985","2021/03/23","No change in Status","No Five Year Review In Progress","","Fishes"
"Cyprinodon nevadensis mionectes","Pupfish, Ash Meadows Amargosa","<div>Wherever found</div>","E","8","1982","2020/09/30","No change in Status","No Five Year Review In Progress","","Fishes"
"Phlox nivalis ssp. texensis","Phlox, Texas trailing","<div>Wherever found</div>","E","2","1991","2018/08/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Trifolium amoenum","Clover, showy Indian","<div>Wherever found</div>","E","8","1997","2012/06/20","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/5832'>Initiation of 5-Year Status Reviews of 40 Species in California Nevada and Oregon; request for information</a","2022/02/02","Flowering Plants"
"Mentzelia leucophylla","Blazingstar, Ash Meadows","<div>Wherever found</div>","T","8","1985","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Icaricia icarioides missionensis","Butterfly, mission blue","<div>Wherever found</div>","E","8","1976","2022/03/31","No change in Status","No Five Year Review In Progress","","Insects"
"Phyllostegia hispida","No common name","<div>Wherever found</div>","E","1","2009","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Leptoxis taeniata","Rocksnail, painted","<div>Wherever found</div>","T","4","1998","2022/12/15","No change in Status","No Five Year Review In Progress","","Snails"
"Gila purpurea","Chub, Yaqui","<div>Wherever found</div>","E","2","1984","2020/10/22","No change in Status","No Five Year Review In Progress","","Fishes"
"Aristida chaseae","No common name","<div>Wherever found</div>","E","4","1993","2019/06/10","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Myadestes palmeri","Thrush, small Kauai (=puaiohi)","<div>Wherever found</div>","E","1","1967","2018/04/16","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Birds"
"Colinus virginianus ridgwayi","Bobwhite, masked (quail)","<div>Wherever found</div>","E","2","1967","2014/05/08","No change in Status","No Five Year Review In Progress","","Birds"
"Schiedea hawaiiensis","Ma`oli`oli","<div>Wherever found</div>","E","1","2013","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Remya kauaiensis","No common name","<div>Wherever found</div>","E","1","1991","2022/08/09","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Sistrurus catenatus","Massasauga (=rattlesnake), eastern","<div>Wherever found</div>","T","3","2016","2021/08/23","No change in Status","No Five Year Review In Progress","","Reptiles"
"Canavalia pubescens","`Awikiwiki","<div>Wherever found</div>","E","1","2013","2021/07/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pelecanus occidentalis","Pelican, brown","<div>except U.S. Atlantic coast, FL, AL</div>","DM","8","1970","2007/02/07","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Birds"
"Sterna antillarum browni","Tern, California least","<div>Wherever found</div>","E","8","1970","2020/07/09","No change in Status","No Five Year Review In Progress","","Birds"
"Ptychobranchus jonesi","Kidneyshell, southern","<div>Wherever found</div>","E","4","2012","2022/09/13","No change in Status","No Five Year Review In Progress","","Clams"
"Apodemia mormo langei","Butterfly, Lange's metalmark","<div>Wherever found</div>","E","8","1976","2020/08/31","No change in Status","No Five Year Review In Progress","","Insects"
"Crenichthys nevadae","Springfish, Railroad Valley","<div>Wherever found</div>","T","8","1986","2021/09/24","No change in Status","No Five Year Review In Progress","","Fishes"
"Fusconaia burkei","Pigtoe, tapered","<div>Wherever found</div>","T","4","2012","2022/09/13","No change in Status","No Five Year Review In Progress","","Clams"
"Enhydra lutris kenyoni","Otter, Northern Sea","<div>Southwest Alaska DPS</div>","T","7","2005","2021/02/16","No change in Status","No Five Year Review In Progress","","Mammals"
"Phaeognathus hubrichti","Salamander, Red Hills","<div>Wherever found</div>","T","4","1977","2013/05/06","No change in Status","Initiation of 5-Year Status Reviews for 53 Southeastern Species; Notice of reviews; request for information","2019/06/20","Amphibians"
"Ziziphus celata","Ziziphus, Florida","<div></div>","E","4","1989","2009/08/27","No change in Status","Initiation of 5- Year Status Reviews for 36 Southeastern Species","2019/04/11","Flowering Plants"
"Polioptila californica californica","Gnatcatcher, coastal California","<div>Wherever found</div>","T","8","1993","2020/06/02","No change in Status","No Five Year Review In Progress","","Birds"
"Calyptronoma rivalis","Manaca, palma de","<div>Wherever found</div>","T","4","1990","2022/08/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Malacothrix squalida","Malacothrix, island","<div>Wherever found</div>","E","8","1997","2022/08/31","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pritchardia kaalae","loulu","<div>Wherever found</div>","E","1","1996","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Gallinula galeata sandvicensis","gallinule, Hawaiian common","<div>Wherever found</div>","E","1","1967","2021/08/25","No change in Status","No Five Year Review In Progress","","Birds"
"Neotoma floridana smalli","Woodrat, Key Largo","<div>Wherever found</div>","E","4","1983","2018/03/21","No change in Status","Initiation of 5- Year Status Reviews for 35 Southeastern Species; Request for Information","2022/05/13","Mammals"
"Arenaria paludicola","Sandwort, Marsh","<div>Wherever found</div>","E","8","1993","2020/08/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pseudonestor xanthophrys","parrotbill, Maui (Kiwikiu)","<div>Wherever found</div>","E","1","1967","2018/04/16","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Birds"
"Cyrtandra wagneri","No common name","<div>Wherever found</div>","E","1","2013","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Orcuttia tenuis","Orcutt grass, slender","<div>Wherever found</div>","T","8","1997","2009/11/24","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/5832'>Initiation of 5-Year Status Reviews of 40 Species in California Nevada and Oregon; request for information</a","2022/02/02","Flowering Plants"
"Thelypteris inabonensis","No common name","<div>Wherever found</div>","E","4","1993","2021/09/01","No change in Status","No Five Year Review In Progress","","Ferns and Allies"
"Cyrtandra cyaneoides","Mapele","<div>Wherever found</div>","E","1","1996","2022/07/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pterodroma cahow","petrel, Bermuda","<div>Wherever found</div>","E","4","1970","2019/08/20","No change in Status","No Five Year Review In Progress","","Birds"
"Harperocallis flava","Beauty, Harper's","<div></div>","E","4","1979","2022/03/14","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Clermontia oblongifolia ssp. brevipes","`Oha wai","<div>Wherever found</div>","E","1","1992","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Medionidus walkeri","Moccasinshell, Suwannee","<div>Wherever found</div>","T","4","2016","2022/09/14","No change in Status","No Five Year Review In Progress","","Clams"
"Remya montgomeryi","No common name","<div>Wherever found</div>","E","1","1991","2022/08/09","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Asplenium peruvianum var. insulare","No common name","<div>Wherever found</div>","E","1","1994","2020/09/30","No change in Status","No Five Year Review In Progress","","Ferns and Allies"
"Neoseps reynoldsi","Skink, sand","<div>Wherever found</div>","T","4","1987","2007/08/02","No change in Status","Initiation of 5- Year Status Reviews for 36 Southeastern Species","2019/04/11","Reptiles"
"Peltophryne lemur","Toad, Puerto Rican crested","<div>Wherever found</div>","T","4","1987","2022/08/04","No change in Status","No Five Year Review In Progress","","Amphibians"
"Schiedea lychnoides","Kuawawaenohu","<div>Wherever found</div>","E","1","1996","2022/08/09","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Gesneria pauciflora","No common name","<div>Wherever found</div>","T","4","1995","2019/09/11","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Astragalus bibullatus","Ground-plum, Guthrie's (=Pyne's)","<div>Wherever found</div>","E","4","1991","2019/09/18","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pediocactus winkleri","Cactus, Winkler","<div>Wherever found</div>","T","6","1998","2019/08/29","No change in Status","Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of 27 Listed Species in the Mountain-Prairie Region","2023/03/13","Flowering Plants"
"Kadua st.-johnii","No common name","<div>Wherever found</div>","E","1","1991","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Rhadine infernalis","Beetle, [no common name]","<div>Wherever found</div>","E","2","2000","2021/09/28","No change in Status","No Five Year Review In Progress","","Insects"
"Peromyscus polionotus ammobates","Mouse, Alabama beach","<div>Wherever found</div>","E","4","1985","2019/03/22","No change in Status","No Five Year Review In Progress","","Mammals"
"Astragalus brauntonii","Milk-vetch, Braunton's","<div>Wherever found</div>","E","8","1997","2009/02/04","No change in Status","Initiation of 5-Year Status Reviews of 76 Species in California and Nevada; request for information","2021/05/20","Flowering Plants"
"Gilia tenuiflora ssp. hoffmannii","Gilia, Hoffmann's slender-flowered","<div>Wherever found</div>","E","8","1997","2022/06/14","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Acaena exigua","Liliwai","<div>Wherever found</div>","E","1","1992","2020/03/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Silene spaldingii","Catchfly, Spalding's","<div>Wherever found</div>","T","1","2001","2020/09/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Carex lutea","Sedge, golden","<div>Wherever found</div>","E","4","2002","2022/08/08","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pentachaeta lyonii","Pentachaeta, Lyon's","<div>Wherever found</div>","E","8","1997","2019/10/04","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Opuntia treleasei","Cactus, Bakersfield","<div>Wherever found</div>","E","8","1990","2020/07/21","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Joinvillea ascendens ascendens","`Ohe","<div>Wherever found</div>","E","1","2016","2021/07/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Physaria globosa","Bladderpod, Short's","<div>Wherever found</div>","E","4","2014","2021/06/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Marsilea villosa","Ihi`ihi","<div>Wherever found</div>","E","1","1992","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Ferns and Allies"
"Telespyza cantans","Finch, Laysan (honeycreeper)","<div>Wherever found</div>","E","1","1967","2022/08/04","No change in Status","No Five Year Review In Progress","","Birds"
"Phacelia formosula","Phacelia, North Park","<div>Wherever found</div>","E","6","1982","2021/08/30","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Flowering Plants"
"Cyanea duvalliorum","haha","<div>Wherever found</div>","E","1","2013","2020/09/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Urocyon littoralis littoralis","Fox, San Miguel Island","<div>wherever found</div>","DM","8","2004","2016/08/12","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Mammals"
"Schiedea kealiae","Ma`oli`oli","<div>Wherever found</div>","E","1","1996","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Hylaeus hilaris","Yellow-faced bee, hilaris","<div>Wherever found</div>","E","1","2016","2021/07/01","No change in Status","No Five Year Review In Progress","","Insects"
"Pseudotryonia adamantina","Tryonia, Diamond","<div>Wherever found</div>","E","2","2013","2019/09/23","No change in Status","No Five Year Review In Progress","","Snails"
"Enceliopsis nudicaulis var. corrugata","Sunray, Ash Meadows","<div>Wherever found</div>","T","8","1985","2020/10/01","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Phyllostegia floribunda","No common name","<div>Wherever found</div>","E","1","2013","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Leptonycteris nivalis","Bat, Mexican long-nosed","<div>Wherever found</div>","E","2","1988","2019/09/13","No change in Status","No Five Year Review In Progress","","Mammals"
"Ceanothus ferrisae","Ceanothus, coyote","<div>Wherever found</div>","E","8","1995","2011/09/08","No change in Status","Initiation of 5-Year Status Reviews of 66 Species in California and Nevada; request for information","2020/02/10","Flowering Plants"
"Gardenia remyi","Nanu","<div>Wherever found</div>","E","1","2016","2021/07/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Marstonia pachyta","Snail, armored","<div>Wherever found</div>","E","4","2000","2020/04/23","No change in Status","No Five Year Review In Progress","","Snails"
"Primula maguirei","Primrose, Maguire","<div>Wherever found</div>","T","6","1985","2021/03/10","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Campanula robinsiae","Bellflower, Brooksville","<div></div>","E","4","1989","2019/07/22","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Schiedea diffusa ssp. macraei","No common name","<div>Wherever found</div>","E","1","2013","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Gammarus pecos","Amphipod, Pecos","<div>Wherever found</div>","E","2","2013","2019/09/23","No change in Status","No Five Year Review In Progress","","Crustaceans"
"Margaritifera hembeli","Pearlshell, Louisiana","<div>Wherever found</div>","T","4","1988","2022/09/26","No change in Status","No Five Year Review In Progress","","Clams"
"Pleurobema hanleyianum","Pigtoe, Georgia","<div>Wherever found</div>","E","4","2010","2021/05/13","No change in Status","No Five Year Review In Progress","","Clams"
"Cyanea asplenifolia","Haha","<div>Wherever found</div>","E","1","2013","2020/09/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Glaucomys sabrinus fuscus","Squirrel, Virginia northern flying","<div>Wherever found</div>","DM","5","1985","2006/05/19","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Mammals"
"Phyllostegia glabra var. lanaiensis","No common name","<div>Wherever found</div>","E","1","1991","2019/03/28","Delist: The species is extinct","Removal of 23 Extinct  Species From the Lists of Endangered and Threatened Wildlife and  Plants; Proposed Rule","2021/09/30","Flowering Plants"
"Hylaeus mana","yellow-faced bee, Hawaiian","<div>Wherever found</div>","E","1","2016","2021/07/30","No change in Status","No Five Year Review In Progress","","Insects"
"Delphinium variegatum ssp. kinkiense","Larkspur, San Clemente Island","<div>Wherever found</div>","DM","8","1977","2023/01/25","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Flowering Plants"
"Drosophila digressa","Fly, Hawaiian picture-wing","<div>Wherever found</div>","E","1","2013","2020/08/19","No change in Status","No Five Year Review In Progress","","Insects"
"Zanthoxylum hawaiiense","A`e","<div>Wherever found</div>","E","1","1994","2021/09/16","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pleomele forbesii","Hala pepe","<div>Wherever found</div>","E","1","2012","2019/08/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Melicope quadrangularis","Alani","<div>Wherever found</div>","E","1","1994","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Eremophila alpestris strigata","Horned lark, streaked","<div>Wherever found</div>","T","1","2013","2021/04/13","No change in Status","No Five Year Review In Progress","","Birds"
"Geranium arboreum","Geranium, Hawaiian red-flowered","<div>Wherever found</div>","E","1","1992","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Melicope saint-johnii","Alani","<div>Wherever found</div>","E","1","1996","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Arctostaphylos glandulosa ssp. crassifolia","Manzanita, Del Mar","<div>Wherever found</div>","E","8","1996","2010/08/13","No change in Status","Initiation of 5-Year Status Reviews of 76 Species in California and Nevada; request for information","2021/05/20","Flowering Plants"
"Antrobia culveri","Cavesnail, Tumbling Creek","<div>Wherever found</div>","E","3","2002","2022/02/01","No change in Status","No Five Year Review In Progress","","Snails"
"Lysimachia iniki","No common name","<div>Wherever found</div>","E","1","2010","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Lobelia niihauensis","No common name","<div>Wherever found</div>","E","1","1991","2021/09/14","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyanea longiflora","Haha","<div>Wherever found</div>","E","1","1996","2019/09/25","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Gymnogyps californianus","Condor, California","<div>U.S.A. only, except where listed as an experimental population</div>","E","8","1967","2013/06/04","No change in Status","Initiation of 5-Year Status Reviews of 76 Species in California and Nevada; request for information","2021/05/20","Birds"
"Epioblasma perobliqua","Catspaw, white (pearlymussel)","<div>Wherever found</div>","E","3","1976","2021/02/05","No change in Status","No Five Year Review In Progress","","Clams"
"Etheostoma okaloosae","Darter, Okaloosa","<div>Wherever found</div>","T","4","1973","2021/11/17","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Fishes"
"Cyanea acuminata","Haha","<div>Wherever found</div>","E","1","1996","2019/09/20","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Geranium kauaiense","Nohoanu","<div>Wherever found</div>","E","1","2010","2022/08/04","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Phyllostegia pilosa","No common name","<div>Wherever found</div>","E","1","2013","2020/08/19","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Procaris hawaiana","Shrimp, anchialine pool","<div>Wherever found</div>","E","1","2016","2020/08/31","No change in Status","No Five Year Review In Progress","","Crustaceans"
"Erysimum capitatum var. angustatum","Wallflower, Contra Costa","<div>Wherever found</div>","E","8","1978","2021/06/09","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Dalea foliosa","Prairie-clover, leafy","<div></div>","E","3","1991","2022/06/23","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyanea obtusa","Haha","<div>Wherever found</div>","E","1","2013","2020/03/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Newcombia cumingi","Tree snail, Newcomb's","<div>Wherever found</div>","E","1","2013","2020/08/07","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Snails"
"Cyanea recta","Haha","<div>Wherever found</div>","T","1","1996","2022/07/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Tabernaemontana rotensis","No common name","<div>Wherever found</div>","T","1","2015","2020/08/19","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
